district,state,statecode,zone
Bilaspur,Chhattisgarh,CT,1.0
Bilaspur,Himachal Pradesh,HP,1.0
Birbhum,West Bengal,WB,2.0
Bishnupur,Manipur,MN,1.0
Biswanath,Assam,AS,1.0
Bokaro,Jharkhand,JH,2.0
Bongaigaon,Assam,AS,3.0
Botad,Gujarat,GJ,2.0
Boudh,Odisha,OR,1.0
Budaun,Uttar Pradesh,UP,2.0
Budgam,Jammu and Kashmir,JK,3.0
Bulandshahr,Uttar Pradesh,UP,3.0
Buldhana,Maharashtra,MH,2.0
Bundi,Rajasthan,RJ,1.0
Burhanpur,Madhya Pradesh,MP,2.0
Buxar,Bihar,BR,3.0
Cachar,Assam,AS,2.0
Chamarajanagara,Karnataka,KA,1.0
Chamba,Himachal Pradesh,HP,2.0
Chamoli,Uttarakhand,UT,1.0
Champawat,Uttarakhand,UT,1.0
Champhai,Mizoram,MZ,1.0
Chandauli,Uttar Pradesh,UP,1.0
Chandel,Manipur,MN,1.0
Chandigarh,Chandigarh,CH,3.0
Chandrapur,Maharashtra,MH,2.0
Changlang,Arunachal Pradesh,AR,1.0
Charaideo,Assam,AS,1.0
Charkhi Dadri,Haryana,HR,2.0
Chatra,Jharkhand,JH,1.0
Chengalpattu,Tamil Nadu,TN,3.0
Chennai,Tamil Nadu,TN,3.0
Chhatarpur,Madhya Pradesh,MP,1.0
Chhindwara,Madhya Pradesh,MP,2.0
Chhota Udaipur,Gujarat,GJ,2.0
Chikkaballapura,Karnataka,KA,2.0
Chikkamagaluru,Karnataka,KA,1.0
Chirang,Assam,AS,1.0
Chitradurga,Karnataka,KA,2.0
Chitrakoot,Uttar Pradesh,UP,1.0
Chittoor,Andhra Pradesh,AP,3.0
Chittorgarh,Rajasthan,RJ,2.0
Churachandpur,Manipur,MN,1.0
Churu,Rajasthan,RJ,2.0
Coimbatore,Tamil Nadu,TN,2.0
Cooch Behar,West Bengal,WB,1.0
Cuddalore,Tamil Nadu,TN,2.0
Cuttack,Odisha,OR,1.0
Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,DN,2.0
Dahod,Gujarat,GJ,2.0
Dakshin Bastar Dantewada,Chhattisgarh,CT,1.0
Dakshin Dinajpur,West Bengal,WB,1.0
Dakshina Kannada,Karnataka,KA,2.0
Daman,Dadra and Nagar Haveli and Daman and Diu,DN,1.0
Damoh,Madhya Pradesh,MP,1.0
Dang,Gujarat,GJ,2.0
Darbhanga,Bihar,BR,2.0
Darjeeling,West Bengal,WB,2.0
Darrang,Assam,AS,1.0
Datia,Madhya Pradesh,MP,1.0
Dausa,Rajasthan,RJ,2.0
Davanagere,Karnataka,KA,2.0
Dehradun,Uttarakhand,UT,2.0
Delhi,Delhi,DL,3.0
Deogarh,Odisha,OR,2.0
Deoghar,Jharkhand,JH,2.0
Deoria,Uttar Pradesh,UP,2.0
Devbhumi Dwarka,Gujarat,GJ,2.0
Dewas,Madhya Pradesh,MP,3.0
Dhalai,Tripura,TR,3.0
Dhamtari,Chhattisgarh,CT,1.0
Dhanbad,Jharkhand,JH,2.0
Dhar,Madhya Pradesh,MP,3.0
Dharmapuri,Tamil Nadu,TN,2.0
Dharwad,Karnataka,KA,2.0
Dhemaji,Assam,AS,1.0
Dhenkanal,Odisha,OR,2.0
Dholpur,Rajasthan,RJ,2.0
Dhubri,Assam,AS,2.0
Dhule,Maharashtra,MH,3.0
Dibrugarh,Assam,AS,1.0
Dima Hasao,Assam,AS,1.0
Dimapur,Nagaland,NL,1.0
Dindigul,Tamil Nadu,TN,2.0
Dindori,Madhya Pradesh,MP,2.0
Diu,Dadra and Nagar Haveli and Daman and Diu,DN,1.0
Doda,Jammu and Kashmir,JK,1.0
Dumka,Jharkhand,JH,1.0
Dungarpur,Rajasthan,RJ,2.0
Durg,Chhattisgarh,CT,1.0
East Champaran,Bihar,BR,2.0
East District,Sikkim,SK,1.0
East Garo Hills,Meghalaya,ML,1.0
East Godavari,Andhra Pradesh,AP,2.0
East Jaintia Hills,Meghalaya,ML,1.0
East Kameng,Arunachal Pradesh,AR,1.0
East Khasi Hills,Meghalaya,ML,2.0
East Siang,Arunachal Pradesh,AR,1.0
East Singhbhum,Jharkhand,JH,1.0
Ernakulam,Kerala,KL,1.0
Erode,Tamil Nadu,TN,1.0
Etah,Uttar Pradesh,UP,2.0
Etawah,Uttar Pradesh,UP,2.0
Faridabad,Haryana,HR,3.0
Faridkot,Punjab,PB,2.0
Farrukhabad,Uttar Pradesh,UP,1.0
Fatehabad,Haryana,HR,2.0
Fatehgarh Sahib,Punjab,PB,2.0
Fatehpur,Uttar Pradesh,UP,2.0
Fazilka,Punjab,PB,1.0
Ferozepur,Punjab,PB,2.0
Firozabad,Uttar Pradesh,UP,3.0
Gadag,Karnataka,KA,2.0
Gadchiroli,Maharashtra,MH,1.0
Gajapati,Odisha,OR,1.0
Ganderbal,Jammu and Kashmir,JK,3.0
Gandhinagar,Gujarat,GJ,3.0
Ganganagar,Rajasthan,RJ,1.0
Ganjam,Odisha,OR,3.0
Garhwa,Jharkhand,JH,2.0
Gariaband,Chhattisgarh,CT,1.0
Gautam Buddha Nagar,Uttar Pradesh,UP,3.0
Gaya,Bihar,BR,3.0
Ghaziabad,Uttar Pradesh,UP,2.0
Ghazipur,Uttar Pradesh,UP,2.0
Gir Somnath,Gujarat,GJ,2.0
Giridih,Jharkhand,JH,2.0
Goalpara,Assam,AS,2.0
Godda,Jharkhand,JH,1.0
Golaghat,Assam,AS,1.0
Gomati,Tripura,TR,2.0
Gonda,Uttar Pradesh,UP,2.0
Gondia,Maharashtra,MH,1.0
Gopalganj,Bihar,BR,2.0
Gorakhpur,Uttar Pradesh,UP,2.0
Gumla,Jharkhand,JH,1.0
Guna,Madhya Pradesh,MP,2.0
Guntur,Andhra Pradesh,AP,3.0
Gurdaspur,Punjab,PB,2.0
Gurugram,Haryana,HR,2.0
Gwalior,Madhya Pradesh,MP,3.0
Hailakandi,Assam,AS,1.0
Hamirpur,Himachal Pradesh,HP,2.0
Hamirpur,Uttar Pradesh,UP,1.0
Hanumangarh,Rajasthan,RJ,2.0
Hapur,Uttar Pradesh,UP,2.0
Harda,Madhya Pradesh,MP,2.0
Hardoi,Uttar Pradesh,UP,2.0
Haridwar,Uttarakhand,UT,3.0
Hassan,Karnataka,KA,2.0
Hathras,Uttar Pradesh,UP,2.0
Haveri,Karnataka,KA,2.0
Hazaribagh,Jharkhand,JH,2.0
Hingoli,Maharashtra,MH,2.0
Hisar,Haryana,HR,2.0
Hnahthial,Mizoram,MZ,1.0
Hojai,Assam,AS,1.0
Hooghly,West Bengal,WB,2.0
Hoshangabad,Madhya Pradesh,MP,2.0
Hoshiarpur,Punjab,PB,2.0
Howrah,West Bengal,WB,3.0
Hyderabad,Telangana,TG,3.0
Idukki,Kerala,KL,2.0
Imphal East,Manipur,MN,1.0
Imphal West,Manipur,MN,1.0
Indore,Madhya Pradesh,MP,3.0
Jabalpur,Madhya Pradesh,MP,3.0
Jagatsinghpur,Odisha,OR,2.0
Jagtial,Telangana,TG,2.0
Jaipur,Rajasthan,RJ,3.0
Jaisalmer,Rajasthan,RJ,2.0
Jajpur,Odisha,OR,3.0
Jalandhar,Punjab,PB,3.0
Jalaun,Uttar Pradesh,UP,2.0
Jalgaon,Maharashtra,MH,3.0
Jalna,Maharashtra,MH,2.0
Jalore,Rajasthan,RJ,2.0
Jalpaiguri,West Bengal,WB,2.0
Jammu,Jammu and Kashmir,JK,3.0
Jamnagar,Gujarat,GJ,2.0
Jamtara,Jharkhand,JH,2.0
Jamui,Bihar,BR,1.0
Jangaon,Telangana,TG,2.0
Janjgir Champa,Chhattisgarh,CT,1.0
Jashpur,Chhattisgarh,CT,1.0
Jaunpur,Uttar Pradesh,UP,2.0
Jayashankar Bhupalapally,Telangana,TG,2.0
Jehanabad,Bihar,BR,2.0
Jhabua,Madhya Pradesh,MP,1.0
Jhajjar,Haryana,HR,2.0
Jhalawar,Rajasthan,RJ,3.0
Jhansi,Uttar Pradesh,UP,2.0
Jhargram,West Bengal,WB,1.0
Jharsuguda,Odisha,OR,2.0
Jhunjhunu,Rajasthan,RJ,2.0
Jind,Haryana,HR,2.0
Jiribam,Manipur,MN,1.0
Jodhpur,Rajasthan,RJ,3.0
Jogulamba Gadwal,Telangana,TG,2.0
Jorhat,Assam,AS,1.0
Junagadh,Gujarat,GJ,1.0
Kabeerdham,Chhattisgarh,CT,1.0
Kaimur,Bihar,BR,2.0
Kaithal,Haryana,HR,2.0
Kakching,Manipur,MN,1.0
Kalaburagi,Karnataka,KA,2.0
Kalahandi,Odisha,OR,2.0
Kalimpong,West Bengal,WB,2.0
Kallakurichi,Tamil Nadu,TN,2.0
Kamareddy,Telangana,TG,2.0
Kamjong,Manipur,MN,1.0
Kamle,Arunachal Pradesh,AR,1.0
Kamrup,Assam,AS,1.0
Kamrup Metropolitan,Assam,AS,2.0
Kancheepuram,Tamil Nadu,TN,3.0
Kandhamal,Odisha,OR,1.0
Kangpokpi,Manipur,MN,1.0
Kangra,Himachal Pradesh,HP,2.0
Kannauj,Uttar Pradesh,UP,2.0
Kannur,Kerala,KL,3.0
Kanpur Dehat,Uttar Pradesh,UP,1.0
Kanpur Nagar,Uttar Pradesh,UP,3.0
Kanyakumari,Tamil Nadu,TN,2.0
Kapurthala,Punjab,PB,2.0
Karaikal,Puducherry,PY,1.0
Karauli,Rajasthan,RJ,2.0
Karbi Anglong,Assam,AS,1.0
Kargil,Ladakh,LA,2.0
Karimganj,Assam,AS,1.0
Karimnagar,Telangana,TG,2.0
Karnal,Haryana,HR,2.0
Karur,Tamil Nadu,TN,2.0
Kasaragod,Kerala,KL,2.0
Kasganj,Uttar Pradesh,UP,2.0
Kathua,Jammu and Kashmir,JK,3.0
Katihar,Bihar,BR,2.0
Katni,Madhya Pradesh,MP,1.0
Kaushambi,Uttar Pradesh,UP,2.0
Kendrapara,Odisha,OR,2.0
Kendujhar,Odisha,OR,2.0
Khagaria,Bihar,BR,2.0
Khammam,Telangana,TG,2.0
Khandwa,Madhya Pradesh,MP,3.0
Khargone,Madhya Pradesh,MP,2.0
Khawzawl,Mizoram,MZ,1.0
Kheda,Gujarat,GJ,2.0
Khordha,Odisha,OR,2.0
Khowai,Tripura,TR,1.0
Khunti,Jharkhand,JH,1.0
Kinnaur,Himachal Pradesh,HP,1.0
Kiphire,Nagaland,NL,1.0
Kishanganj,Bihar,BR,2.0
Kishtwar,Jammu and Kashmir,JK,1.0
Kodagu,Karnataka,KA,1.0
Koderma,Jharkhand,JH,2.0
Kohima,Nagaland,NL,1.0
Kokrajhar,Assam,AS,1.0
Kolar,Karnataka,KA,2.0
Kolasib,Mizoram,MZ,1.0
Kolhapur,Maharashtra,MH,2.0
Kolkata,West Bengal,WB,3.0
Kollam,Kerala,KL,2.0
Komaram Bheem,Telangana,TG,2.0
Kondagaon,Chhattisgarh,CT,1.0
Koppal,Karnataka,KA,1.0
Koraput,Odisha,OR,2.0
Korba,Chhattisgarh,CT,2.0
Koriya,Chhattisgarh,CT,1.0
Kota,Rajasthan,RJ,3.0
Kottayam,Kerala,KL,3.0
Kozhikode,Kerala,KL,2.0
Kra Daadi,Arunachal Pradesh,AR,1.0
Krishna,Andhra Pradesh,AP,3.0
Krishnagiri,Tamil Nadu,TN,2.0
Kulgam,Jammu and Kashmir,JK,3.0
Kullu,Himachal Pradesh,HP,1.0
Kupwara,Jammu and Kashmir,JK,3.0
Kurnool,Andhra Pradesh,AP,3.0
Kurukshetra,Haryana,HR,2.0
Kurung Kumey,Arunachal Pradesh,AR,1.0
Kushinagar,Uttar Pradesh,UP,1.0
Kutch,Gujarat,GJ,2.0
Lahaul and Spiti,Himachal Pradesh,HP,1.0
Lakhimpur,Assam,AS,1.0
Lakhimpur Kheri,Uttar Pradesh,UP,1.0
Lakhisarai,Bihar,BR,2.0
Lakshadweep,Lakshadweep,LD,1.0
Lalitpur,Uttar Pradesh,UP,1.0
Latehar,Jharkhand,JH,1.0
Latur,Maharashtra,MH,2.0
Lawngtlai,Mizoram,MZ,1.0
Leh,Ladakh,LA,2.0
Lepa Rada,Arunachal Pradesh,AR,1.0
Lohardaga,Jharkhand,JH,1.0
Lohit,Arunachal Pradesh,AR,1.0
Longding,Arunachal Pradesh,AR,1.0
Longleng,Nagaland,NL,1.0
Lower Dibang Valley,Arunachal Pradesh,AR,1.0
Lower Siang,Arunachal Pradesh,AR,1.0
Lower Subansiri,Arunachal Pradesh,AR,1.0
Lucknow,Uttar Pradesh,UP,3.0
Ludhiana,Punjab,PB,3.0
Lunglei,Mizoram,MZ,1.0
Madhepura,Bihar,BR,2.0
Madhubani,Bihar,BR,2.0
Madurai,Tamil Nadu,TN,3.0
Mahabubabad,Telangana,TG,1.0
Mahabubnagar,Telangana,TG,2.0
Maharajganj,Uttar Pradesh,UP,1.0
Mahasamund,Chhattisgarh,CT,1.0
Mahe,Puducherry,PY,1.0
Mahendragarh,Haryana,HR,2.0
Mahisagar,Gujarat,GJ,2.0
Mahoba,Uttar Pradesh,UP,1.0
Mainpuri,Uttar Pradesh,UP,2.0
Majuli,Assam,AS,1.0
Malappuram,Kerala,KL,2.0
Malda,West Bengal,WB,2.0
Malkangiri,Odisha,OR,1.0
Mamit,Mizoram,MZ,1.0
Mancherial,Telangana,TG,2.0
Mandi,Himachal Pradesh,HP,1.0
Mandla,Madhya Pradesh,MP,1.0
Mandsaur,Madhya Pradesh,MP,2.0
Mandya,Karnataka,KA,2.0
Mansa,Punjab,PB,2.0
Mathura,Uttar Pradesh,UP,3.0
Mau,Uttar Pradesh,UP,2.0
Mayurbhanj,Odisha,OR,2.0
Medak,Telangana,TG,2.0
Medchal Malkajgiri,Telangana,TG,3.0
Meerut,Uttar Pradesh,UP,3.0
Mehsana,Gujarat,GJ,2.0
Mirpur,Jammu and Kashmir,JK,
Mirzapur,Uttar Pradesh,UP,2.0
Moga,Punjab,PB,2.0
Mokokchung,Nagaland,NL,1.0
Mon,Nagaland,NL,1.0
Moradabad,Uttar Pradesh,UP,3.0
Morbi,Gujarat,GJ,1.0
Morena,Madhya Pradesh,MP,2.0
Morigaon,Assam,AS,2.0
Mulugu,Telangana,TG,1.0
Mumbai,Maharashtra,MH,3.0
Mumbai Suburban,Maharashtra,MH,3.0
Mungeli,Chhattisgarh,CT,1.0
Munger,Bihar,BR,3.0
Murshidabad,West Bengal,WB,2.0
Muzaffarabad,Jammu and Kashmir,JK,
Muzaffarnagar,Uttar Pradesh,UP,3.0
Muzaffarpur,Bihar,BR,2.0
Mysuru,Karnataka,KA,3.0
Nabarangapur,Odisha,OR,1.0
Nadia,West Bengal,WB,2.0
Nagaon,Assam,AS,1.0
Nagapattinam,Tamil Nadu,TN,2.0
Nagarkurnool,Telangana,TG,1.0
Nagaur,Rajasthan,RJ,3.0
Nagpur,Maharashtra,MH,3.0
Nainital,Uttarakhand,UT,2.0
Nalanda,Bihar,BR,2.0
Nalbari,Assam,AS,1.0
Nalgonda,Telangana,TG,2.0
Namakkal,Tamil Nadu,TN,3.0
Namsai,Arunachal Pradesh,AR,1.0
Nanded,Maharashtra,MH,2.0
Nandurbar,Maharashtra,MH,2.0
Narayanpet,Telangana,TG,2.0
Narayanpur,Chhattisgarh,CT,1.0
Narmada,Gujarat,GJ,2.0
Narsinghpur,Madhya Pradesh,MP,1.0
Nashik,Maharashtra,MH,3.0
Navsari,Gujarat,GJ,2.0
Nawada,Bihar,BR,2.0
Nayagarh,Odisha,OR,2.0
Neemuch,Madhya Pradesh,MP,2.0
Nicobars,Andaman and Nicobar Islands,AN,1.0
Nilgiris,Tamil Nadu,TN,2.0
Nirmal,Telangana,TG,2.0
Niwari,Madhya Pradesh,MP,1.0
Nizamabad,Telangana,TG,2.0
Noney,Manipur,MN,1.0
North 24 Parganas,West Bengal,WB,3.0
North District,Sikkim,SK,1.0
North Garo Hills,Meghalaya,ML,1.0
North Goa,Goa,GA,1.0
North Tripura,Tripura,TR,2.0
North and Middle Andaman,Andaman and Nicobar Islands,AN,1.0
Nuapada,Odisha,OR,1.0
Nuh,Haryana,HR,2.0
Osmanabad,Maharashtra,MH,1.0
Pakke Kessang,Arunachal Pradesh,AR,1.0
Pakur,Jharkhand,JH,1.0
Palakkad,Kerala,KL,2.0
Palamu,Jharkhand,JH,2.0
Palghar,Maharashtra,MH,3.0
Pali,Rajasthan,RJ,2.0
Palwal,Haryana,HR,2.0
Panchkula,Haryana,HR,2.0
Panchmahal,Gujarat,GJ,3.0
Panipat,Haryana,HR,2.0
Panna,Madhya Pradesh,MP,1.0
Papum Pare,Arunachal Pradesh,AR,1.0
Parbhani,Maharashtra,MH,2.0
Paschim Bardhaman,West Bengal,WB,2.0
Paschim Medinipur,West Bengal,WB,2.0
Patan,Gujarat,GJ,2.0
Pathanamthitta,Kerala,KL,2.0
Pathankot,Punjab,PB,2.0
Patiala,Punjab,PB,3.0
Patna,Bihar,BR,3.0
Pauri Garhwal,Uttarakhand,UT,1.0
Peddapalli,Telangana,TG,1.0
Perambalur,Tamil Nadu,TN,2.0
Peren,Nagaland,NL,1.0
Phek,Nagaland,NL,1.0
Pherzawl,Manipur,MN,1.0
Pilibhit,Uttar Pradesh,UP,2.0
Pithoragarh,Uttarakhand,UT,1.0
Porbandar,Gujarat,GJ,1.0
Prakasam,Andhra Pradesh,AP,2.0
Pratapgarh,Rajasthan,RJ,1.0
Pratapgarh,Uttar Pradesh,UP,2.0
Prayagraj,Uttar Pradesh,UP,2.0
Puducherry,Puducherry,PY,2.0
Pudukkottai,Tamil Nadu,TN,2.0
Pulwama,Jammu and Kashmir,JK,3.0
Punch,Jammu and Kashmir,JK,1.0
Pune,Maharashtra,MH,3.0
Purba Bardhaman,West Bengal,WB,2.0
Purba Medinipur,West Bengal,WB,3.0
Puri,Odisha,OR,1.0
Purnia,Bihar,BR,2.0
Purulia,West Bengal,WB,1.0
Rae Bareli,Uttar Pradesh,UP,3.0
Raichur,Karnataka,KA,1.0
Raigad,Maharashtra,MH,2.0
Raigarh,Chhattisgarh,CT,1.0
Raipur,Chhattisgarh,CT,3.0
Raisen,Madhya Pradesh,MP,2.0
Rajanna Sircilla,Telangana,TG,2.0
Rajgarh,Madhya Pradesh,MP,1.0
Rajkot,Gujarat,GJ,2.0
Rajnandgaon,Chhattisgarh,CT,1.0
Rajouri,Jammu and Kashmir,JK,2.0
Rajsamand,Rajasthan,RJ,2.0
Ramanagara,Karnataka,KA,1.0
Ramanathapuram,Tamil Nadu,TN,2.0
Ramban,Jammu and Kashmir,JK,2.0
Ramgarh,Jharkhand,JH,1.0
Rampur,Uttar Pradesh,UP,3.0
Ranchi,Jharkhand,JH,3.0
Ranga Reddy,Telangana,TG,3.0
Ranipet,Tamil Nadu,TN,3.0
Ratlam,Madhya Pradesh,MP,2.0
Ratnagiri,Maharashtra,MH,2.0
Rayagada,Odisha,OR,1.0
Reasi,Jammu and Kashmir,JK,2.0
Rewa,Madhya Pradesh,MP,1.0
Rewari,Haryana,HR,1.0
Ribhoi,Meghalaya,ML,1.0
Rohtak,Haryana,HR,2.0
Rohtas,Bihar,BR,3.0
Rudraprayag,Uttarakhand,UT,1.0
Rupnagar,Punjab,PB,1.0
S.A.S. Nagar,Punjab,PB,2.0
S.P.S. Nellore,Andhra Pradesh,AP,3.0
Sabarkantha,Gujarat,GJ,2.0
Sagar,Madhya Pradesh,MP,2.0
Saharanpur,Uttar Pradesh,UP,3.0
Saharsa,Bihar,BR,2.0
Sahibganj,Jharkhand,JH,1.0
Saiha,Mizoram,MZ,1.0
Saitual,Mizoram,MZ,1.0
Salem,Tamil Nadu,TN,2.0
Samastipur,Bihar,BR,2.0
Samba,Jammu and Kashmir,JK,3.0
Sambalpur,Odisha,OR,1.0
Sambhal,Uttar Pradesh,UP,2.0
Sangareddy,Telangana,TG,2.0
Sangli,Maharashtra,MH,2.0
Sangrur,Punjab,PB,2.0
Sant Kabir Nagar,Uttar Pradesh,UP,3.0
Saraikela-Kharsawan,Jharkhand,JH,1.0
Saran,Bihar,BR,2.0
Satara,Maharashtra,MH,3.0
Satna,Madhya Pradesh,MP,1.0
Sawai Madhopur,Rajasthan,RJ,2.0
Sehore,Madhya Pradesh,MP,2.0
Senapati,Manipur,MN,1.0
Seoni,Madhya Pradesh,MP,1.0
Serchhip,Mizoram,MZ,1.0
Shahdol,Madhya Pradesh,MP,2.0
Shahid Bhagat Singh Nagar,Punjab,PB,2.0
Shahjahanpur,Uttar Pradesh,UP,1.0
Shajapur,Madhya Pradesh,MP,2.0
Shamli,Uttar Pradesh,UP,2.0
Sheikhpura,Bihar,BR,2.0
Sheohar,Bihar,BR,2.0
Sheopur,Madhya Pradesh,MP,2.0
Shi Yomi,Arunachal Pradesh,AR,1.0
Shimla,Himachal Pradesh,HP,2.0
Shivamogga,Karnataka,KA,2.0
Shivpuri,Madhya Pradesh,MP,1.0
Shopiyan,Jammu and Kashmir,JK,3.0
Shrawasti,Uttar Pradesh,UP,2.0
Siang,Arunachal Pradesh,AR,1.0
Siddharthnagar,Uttar Pradesh,UP,1.0
Siddipet,Telangana,TG,1.0
Sidhi,Madhya Pradesh,MP,1.0
Sikar,Rajasthan,RJ,2.0
Simdega,Jharkhand,JH,2.0
Sindhudurg,Maharashtra,MH,2.0
Singrauli,Madhya Pradesh,MP,1.0
Sipahijala,Tripura,TR,1.0
Sirmaur,Himachal Pradesh,HP,2.0
Sirohi,Rajasthan,RJ,2.0
Sirsa,Haryana,HR,2.0
Sitamarhi,Bihar,BR,1.0
Sitapur,Uttar Pradesh,UP,2.0
Sivaganga,Tamil Nadu,TN,2.0
Sivasagar,Assam,AS,1.0
Siwan,Bihar,BR,2.0
Solan,Himachal Pradesh,HP,2.0
Solapur,Maharashtra,MH,3.0
Sonbhadra,Uttar Pradesh,UP,1.0
Sonipat,Haryana,HR,3.0
Sonitpur,Assam,AS,1.0
South 24 Parganas,West Bengal,WB,2.0
South Andaman,Andaman and Nicobar Islands,AN,3.0
South District,Sikkim,SK,1.0
South Garo Hills,Meghalaya,ML,1.0
South Goa,Goa,GA,1.0
South Salmara Mankachar,Assam,AS,1.0
South Tripura,Tripura,TR,1.0
South West Garo Hills,Meghalaya,ML,1.0
South West Khasi Hills,Meghalaya,ML,1.0
Sri Muktsar Sahib,Punjab,PB,2.0
Srikakulam,Andhra Pradesh,AP,2.0
Srinagar,Jammu and Kashmir,JK,3.0
Subarnapur,Odisha,OR,1.0
Sukma,Chhattisgarh,CT,1.0
Sultanpur,Uttar Pradesh,UP,2.0
Sundargarh,Odisha,OR,2.0
Supaul,Bihar,BR,2.0
Surajpur,Chhattisgarh,CT,1.0
Surat,Gujarat,GJ,3.0
Surendranagar,Gujarat,GJ,2.0
Surguja,Chhattisgarh,CT,1.0
Suryapet,Telangana,TG,3.0
Tamenglong,Manipur,MN,1.0
Tapi,Gujarat,GJ,2.0
Tarn Taran,Punjab,PB,2.0
Tawang,Arunachal Pradesh,AR,1.0
Tehri Garhwal,Uttarakhand,UT,1.0
Tengnoupal,Manipur,MN,1.0
Tenkasi,Tamil Nadu,TN,2.0
Thane,Maharashtra,MH,3.0
Thanjavur,Tamil Nadu,TN,3.0
Theni,Tamil Nadu,TN,2.0
Thiruvallur,Tamil Nadu,TN,3.0
Thiruvananthapuram,Kerala,KL,2.0
Thiruvarur,Tamil Nadu,TN,3.0
Thoothukkudi,Tamil Nadu,TN,2.0
Thoubal,Manipur,MN,1.0
Thrissur,Kerala,KL,1.0
Tikamgarh,Madhya Pradesh,MP,2.0
Tinsukia,Assam,AS,1.0
Tirap,Arunachal Pradesh,AR,1.0
Tiruchirappalli,Tamil Nadu,TN,2.0
Tirunelveli,Tamil Nadu,TN,2.0
Tirupathur,Tamil Nadu,TN,2.0
Tiruppur,Tamil Nadu,TN,3.0
Tiruvannamalai,Tamil Nadu,TN,2.0
