,Unnamed: 0,DaysFromFirstDate,State,district,Gender_F,Gender_M,Gender_Non-Binary,Married_couples_3_Households,Religion_Not_Stated,deceased,Sikhs,Married_couples_None_Households,Power_Parity_Rs_330000_425000,Population,Power_Parity_Above_Rs_545000,DaysFromFirstDate_y,Households_with_Telephone_Mobile_Phone_Both,Muslims,Main_source_of_drinking_water_River_Canal_Households,Literate,Household_size_9_persons_and_above_Households,Cultivator_Workers,Female_Workers,Other_Workers,Gender_Ratio,Power_Parity_Rs_240000_330000,Illiterate_Education,Household_size_1_person_Households,Total_Power_Parity,Christians,Households_with_Computer,active,LPG_or_PNG_Households,NumRuralHospitals_NHP18,Household_size_6_8_persons_Households,Area,Households_with_Television,Power_Parity_Rs_150000_330000,Households_with_Telephone_Mobile_Phone_Mobile_only,Married_couples_3_or_more_Households,Female,Not_having_bathing_facility_within_the_premises_Total_Households,TotalPublicHealthFacilities_HMIS,Total_Education,Secondary_Education,Non_Workers,Type_of_bathing_facility_Enclosure_without_roof_Households,Power_Parity_Rs_425000_545000,Households_with_Internet,Households_with_Radio_Transistor,Household_size_1_to_2_persons,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,District_code,Male,Negative,Household_Workers,Type_of_latrine_facility_Pit_latrine_Households,SC,Location_of_drinking_water_source_Away_Households,Agricultural_Workers,Power_Parity_Rs_90000_150000,NumUrbanHospitals_NHP18,Households_with_Telephone_Mobile_Phone,Households,Households_with_separate_kitchen_Cooking_inside_house,Main_source_of_drinking_water_Tapwater_Households,TotalSamples,Other_Education,NumUrbanBeds_NHP18,Hindus,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Near_the_premises_Households,Male_Workers,Housholds_with_Electric_Lighting,Having_bathing_facility_Total_Households,Male_ST,Married_couples_1_Households,Population.1,Primary_Education,Households_with_Car_Jeep_Van,Power_Parity_Rs_150000_240000,Age_Group_0_29,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,NumDistrictHospitals_HMIS,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Literate_Education,Main_source_of_drinking_water_Un_covered_well_Households,Having_latrine_facility_within_the_premises_Total_Households,Married_couples_5__Households,Positive,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,NumRuralBeds_NHP18,Type_of_latrine_facility_Other_latrine_Households,Location_of_drinking_water_source_Within_the_premises_Households,Power_Parity_Rs_45000_150000,confirmed,DaysFromFirstDate_x,type_Private Laboratory,Power_Parity_Less_than_Rs_45000,Jains,Married_couples_2_Households,Main_Workers,Marginal_Workers,Buddhists,Others_Religions,Household_size_2_persons_Households,Household_size_3_to_5_persons_Households,Condition_of_occupied_census_houses_Dilapidated_Households,Male_SC,Power_Parity_Rs_330000_545000,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Higher_Education,Type_of_fuel_used_for_cooking_Any_other_Households,Rural_population,Rural_Households,Male_Literate,Age_Group_50,recovered,Household_size_3_persons_Households,Urban_population,NumPublicBeds_HMIS,Female_Literate,Workers,Graduate_Education,Power_Parity_Rs_45000_90000,Household_size_5_persons_Households,type_Government Laboratory,Urban_Households,type_Collection Site,Ownership_Owned_Households,Age_Group_30_49,Households_with_Scooter_Motorcycle_Moped,NumPrimaryHealthCenters_HMIS,Female_ST,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Households_with_Bicycle,NumSubDistrictHospitals_HMIS,Middle_Education,Main_source_of_drinking_water_Spring_Households,Ownership_Rented_Households,Married_couples_4_Households,Below_Primary_Education,Households_with_Telephone_Mobile_Phone_Landline_only,zone,NumCommunityHealthCenters_HMIS,Household_size_4_persons_Households,ST,Density,Female_SC,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Age_not_stated,state_active,state_recovered,state_deceased
89,89,3,Tamil Nadu,Thiruvallur,1,1,0,9615,18959,0,1422,117828,472,72147030,580,99,78827,143093,412,2791721,12554,73444,434491,1135784,996,455,610048,32054,7731,233633,174279,53,621907,692,103687,"130,058",857364,1592,630578,10766,1852042,151979,2581,3297728,622789,2190050,133464,876,75634,222750,150892,175520,602,1876062,62596,58240,76666,821646,63193,270586,1732,525,772398,1119433,805187,625071,72403,66378,37353,3325823,41640,148885,531907,1103563,909400,786843,23692,717165,3728104,461918,54505,1137,1925296,5948,32,112276,2687680,53570,636991,130,1755,44284,40179,11779,343722,3672,53,99,10,539,3693,93063,1247918,290136,951,530,118838,671689,17057,410526,1348,858,303091,474,37229590,387237,1495711,643614,0,185181,34917440,72616,1296010,1538054,451321,1940,164709,16,732196,0,636443,1154775,363741,1854,23551,280985,374923,310,600731,1374,291863,1021,181452,62993,3,385,321799,47243,555,411120,10795,4419,583,212,0
90,90,3,Tamil Nadu,Tiruvannamalai,0,1,0,8445,3486,0,232,83936,118,72147030,131,99,19983,91636,700,1626813,9408,292641,499182,373753,996,324,672427,27323,4189,66987,27529,10,176242,692,105226,"130,058",505170,807,345750,9562,1228986,331254,2581,2455139,343955,1226698,102902,271,6445,73410,96016,53134,606,1235889,62596,46720,25166,565329,33865,525063,798,525,389329,710163,349169,496596,72403,36454,37353,2294369,2850,40597,401432,738995,549077,262010,45956,422698,2464875,442688,7851,483,1301347,2926,32,10740,1782712,32837,135162,149,1755,4775,40179,3628,157967,2317,10,99,10,545,7898,77068,970072,268105,157,110,68693,382614,12541,282615,389,915,174560,253,37229590,563102,909803,477668,0,90489,34917440,72616,717010,1238177,158041,1519,126599,16,147061,0,536269,683904,138956,1854,44998,449825,309133,310,423135,310,47934,968,203879,23596,2,385,165526,90954,555,282714,4166,1956,583,212,0
91,91,3,Tamil Nadu,Virudhunagar,1,0,0,2872,3914,0,245,89882,199,72147030,321,99,23643,47838,1504,1398788,3392,57153,371047,649005,996,298,403246,44466,4300,67405,37357,23,235005,692,46868,"130,058",457317,893,308362,3150,974579,222337,2581,1853523,230321,992130,64628,416,10219,109937,133899,61793,625,967709,62596,35298,16606,399831,43124,208702,921,525,353909,734724,498189,453098,72403,35156,37353,1822626,16410,35098,380659,579111,505950,317795,1182,410503,1942288,398670,9845,595,987538,9753,32,17403,1450277,4158,167021,39,1755,18701,40179,11927,116349,2106,23,99,10,364,98,36597,854066,96092,87,75,89433,355973,7084,198704,615,103,138306,328,37229590,363782,760375,378174,0,103255,34917440,72616,638413,950158,167506,1185,87049,16,370942,0,379629,575006,119486,1854,1112,283237,282826,310,317054,684,149739,239,163264,21904,3,385,165669,2294,555,201127,4232,1570,583,212,0
108,108,4,Tamil Nadu,Chennai,20,23,0,15288,38356,0,2851,118340,748,72147030,3686,100,214074,439270,49,3776276,15916,14454,447995,1751824,996,1866,419065,30582,15742,358662,355838,401,910262,692,122912,"130,058",1055696,3820,688857,17628,2310888,33168,2581,4061097,801050,2829435,15930,1214,217368,398414,169721,170162,603,2335844,69390,37345,7440,779667,16519,13674,3685,525,1017122,1314125,1092062,908587,80110,67277,37353,3751322,18353,43461,245763,1369302,1096334,1073399,5207,859219,4646732,516445,146388,1954,2271657,2888,32,264763,3642032,3500,1057802,414,1821,19543,40179,3927,844285,5802,500,100,10,471,51708,111380,1619554,197743,2804,1759,139139,798018,9435,389001,1962,80,464207,619,37229590,0,1968079,899279,99,237897,34917440,72616,1808197,1817297,905515,2117,182588,16,1314125,0,522493,1468902,515581,1854,4854,6553,409796,310,720331,1061,565934,1926,167207,114191,3,385,377533,10061,555,390666,2587,6894,523,145,0
109,109,4,Tamil Nadu,Kancheepuram,3,4,0,10013,21978,0,1620,123421,522,72147030,797,100,103399,173785,1411,3013382,11202,89343,492506,1257225,996,560,678374,37098,8349,256762,200738,18,622095,692,115195,"130,058",904619,1698,665334,11193,1985294,188733,2581,3546183,634172,2324438,132855,832,100322,240359,166082,163172,604,2012958,69390,54732,51093,948081,61890,272514,1965,525,832716,1213504,822329,732354,80110,67354,37353,3537399,26856,129924,496248,1181308,961161,805076,20605,761575,3998252,535947,68427,1138,2076492,5912,32,137686,2867809,39231,651240,155,1821,32942,40179,9902,435671,3958,18,100,10,541,4962,97620,1367378,306436,990,756,128984,701330,13344,474264,1354,3262,312208,475,37229590,438799,1611461,715895,0,196143,34917440,72616,1401921,1673814,526886,1993,179266,16,774705,0,700252,1200284,418526,1854,20605,323242,425865,310,608188,1413,281627,1025,183054,63983,3,385,325921,41210,555,473817,9949,5581,523,145,0
110,110,4,Tamil Nadu,Madurai,0,4,0,7350,8602,0,520,112608,372,72147030,738,100,47472,168881,810,2273430,8561,92719,451928,841792,996,502,449125,40659,6917,97711,95311,32,391821,692,83006,"130,058",708942,1482,530152,8241,1511777,246100,2581,2847799,453509,1683620,66623,710,34097,228106,153915,90919,623,1526475,69390,47293,26772,408976,65204,372828,1526,525,618922,1010441,714764,678712,80110,39350,37353,2760502,19034,62999,434208,902704,754141,551839,5622,605700,3038252,525151,30852,980,1528178,5747,32,54832,2398674,3207,472221,129,1821,23070,40179,8103,298527,3158,60,100,10,458,1532,71390,1173902,180730,199,305,113256,552457,10479,205098,1082,1171,250285,304,37229590,417718,1223810,593827,28,154348,34917440,72616,1049620,1354632,363152,1632,139168,16,592723,0,491822,913715,228557,1854,5474,283179,325803,310,532616,2055,279755,762,234611,41298,3,385,258941,11096,555,203878,7653,2532,523,145,0
111,111,4,Tamil Nadu,Perambalur,0,2,0,1057,376,0,83,28555,40,72147030,31,100,5841,32702,59,375823,992,117304,137087,58801,996,79,109011,11089,979,10301,7745,7,49390,692,16991,"130,058",125953,166,90597,1159,283066,92948,2581,552384,71650,265497,16674,36,1507,25925,35672,16041,615,282157,69390,5343,4809,175289,9087,118278,242,525,103116,188592,119795,122903,80110,9189,37353,521658,864,9740,111622,162639,135751,56453,1292,105551,565223,106751,2259,87,291371,144,32,2687,443373,7474,33135,10,1821,1923,40179,1033,28692,588,7,100,10,117,38,14136,255097,44629,39,26,24583,95746,2940,87444,76,933,41447,33,37229590,155413,208011,115151,0,28566,34917440,72616,167812,299726,44025,346,26160,16,33179,0,132395,158218,32178,1854,1292,109778,59863,310,85101,67,14725,92,85210,6678,2,385,41020,2584,555,87845,1214,483,523,145,0
112,112,4,Tamil Nadu,Tiruvannamalai,0,1,0,8445,3486,0,232,83936,118,72147030,131,100,19983,91636,700,1626813,9408,292641,499182,373753,996,324,672427,27323,4189,66987,27529,11,176242,692,105226,"130,058",505170,807,345750,9562,1228986,331254,2581,2455139,343955,1226698,102902,271,6445,73410,96016,53134,606,1235889,69390,46720,25166,565329,33865,525063,798,525,389329,710163,349169,496596,80110,36454,37353,2294369,2850,40597,401432,738995,549077,262010,45956,422698,2464875,442688,7851,483,1301347,2926,32,10740,1782712,32837,135162,149,1821,4775,40179,3628,157967,2317,11,100,10,545,7898,77068,970072,268105,157,110,68693,382614,12541,282615,389,915,174560,253,37229590,563102,909803,477668,0,90489,34917440,72616,717010,1238177,158041,1519,126599,16,147061,0,536269,683904,138956,1854,44998,449825,309133,310,423135,310,47934,968,203879,23596,2,385,165526,90954,555,282714,4166,1956,523,145,0
113,113,4,Tamil Nadu,Viluppuram,0,1,0,12652,6884,0,325,102350,118,72147030,143,100,27731,133896,1555,2195776,16143,369646,685866,463153,996,437,999902,27779,5306,138279,43311,29,228172,692,154822,"130,058",676077,1001,484134,14726,1718054,496584,2581,3430072,508930,1755624,125683,271,8472,101921,114590,90689,607,1740819,69390,38237,21746,1015716,57534,832213,1041,525,547305,967314,459716,663958,80110,45680,37353,3174941,5283,59841,612231,1017383,748444,307759,37570,579796,3458873,646306,13030,564,1881463,1117,32,14829,2430170,35352,169801,368,1821,9540,40179,3534,134578,3043,47,100,10,730,4032,107471,1260802,442447,238,278,86811,518788,15143,510869,389,1860,246856,190,37229590,808042,1234479,624042,18,120940,34917440,72616,961297,1703249,229726,2002,175528,16,159272,0,726665,949892,184050,1854,37289,621276,351418,310,549742,842,67280,1706,202930,35440,2,385,222320,74859,555,504847,7054,3476,523,145,0
114,114,4,Tamil Nadu,Virudhunagar,0,2,0,2872,3914,0,245,89882,199,72147030,321,100,23643,47838,1504,1398788,3392,57153,371047,649005,996,298,403246,44466,4300,67405,37357,25,235005,692,46868,"130,058",457317,893,308362,3150,974579,222337,2581,1853523,230321,992130,64628,416,10219,109937,133899,61793,625,967709,69390,35298,16606,399831,43124,208702,921,525,353909,734724,498189,453098,80110,35156,37353,1822626,16410,35098,380659,579111,505950,317795,1182,410503,1942288,398670,9845,595,987538,9753,32,17403,1450277,4158,167021,39,1821,18701,40179,11927,116349,2106,25,100,10,364,98,36597,854066,96092,87,75,89433,355973,7084,198704,615,103,138306,328,37229590,363782,760375,378174,0,103255,34917440,72616,638413,950158,167506,1185,87049,16,370942,0,379629,575006,119486,1854,1112,283237,282826,310,317054,684,149739,239,163264,21904,3,385,165669,2294,555,201127,4232,1570,523,145,0
122,122,5,Tamil Nadu,Chennai,10,18,0,15288,38356,0,2851,118340,748,72147030,3686,101,214074,439270,49,3776276,15916,14454,447995,1751824,996,1866,419065,30582,15742,358662,355838,429,910262,692,122912,"130,058",1055696,3820,688857,17628,2310888,33168,2581,4061097,801050,2829435,15930,1214,217368,398414,169721,170162,603,2335844,77133,37345,7440,779667,16519,13674,3685,525,1017122,1314125,1092062,908587,87605,67277,37353,3751322,18353,43461,245763,1369302,1096334,1073399,5207,859219,4646732,516445,146388,1954,2271657,2888,32,264763,3642032,3500,1057802,414,1885,19543,40179,3927,844285,5802,528,101,10,471,51708,111380,1619554,197743,2804,1759,139139,798018,9435,389001,1962,80,464207,619,37229590,0,1968079,899279,99,237897,34917440,72616,1808197,1817297,905515,2117,182588,16,1314125,0,522493,1468902,515581,1854,4854,6553,409796,310,720331,1061,565934,1926,167207,114191,3,385,377533,10061,555,390666,2587,6894,802,155,0
123,123,5,Tamil Nadu,Madurai,5,10,0,7350,8602,0,520,112608,372,72147030,738,101,47472,168881,810,2273430,8561,92719,451928,841792,996,502,449125,40659,6917,97711,95311,47,391821,692,83006,"130,058",708942,1482,530152,8241,1511777,246100,2581,2847799,453509,1683620,66623,710,34097,228106,153915,90919,623,1526475,77133,47293,26772,408976,65204,372828,1526,525,618922,1010441,714764,678712,87605,39350,37353,2760502,19034,62999,434208,902704,754141,551839,5622,605700,3038252,525151,30852,980,1528178,5747,32,54832,2398674,3207,472221,129,1885,23070,40179,8103,298527,3158,75,101,10,458,1532,71390,1173902,180730,199,305,113256,552457,10479,205098,1082,1171,250285,304,37229590,417718,1223810,593827,28,154348,34917440,72616,1049620,1354632,363152,1632,139168,16,592723,0,491822,913715,228557,1854,5474,283179,325803,310,532616,2055,279755,762,234611,41298,3,385,258941,11096,555,203878,7653,2532,802,155,0
124,124,5,Tamil Nadu,Namakkal,2,2,0,2788,2983,0,183,75446,220,72147030,249,101,29271,32483,2340,1176131,1692,158473,366782,447249,996,241,388418,36901,3824,16909,31581,59,265276,692,38032,"130,058",418420,747,300910,2947,857321,147132,2581,1588778,214836,828356,98709,358,8960,138294,124286,66003,609,869280,77133,38797,49551,345392,28446,253726,890,525,352439,627484,378236,365810,87605,21582,37353,1673652,3523,61860,308684,531463,441044,330625,29383,354019,1726601,297179,18550,506,817905,1361,32,19466,1200360,35099,194417,14,1885,6595,40179,2274,140627,1940,59,101,10,309,84,45345,839152,59093,108,199,87385,313747,7462,173973,578,154,126468,263,37229590,370357,653312,397064,0,100172,34917440,72616,522819,898245,169206,1050,67297,16,257127,0,343287,510413,212434,1854,27676,209494,262313,310,247516,578,126986,145,123573,22258,3,385,146278,57059,555,171419,4415,1219,802,155,0
125,125,5,Tamil Nadu,Ramanathapuram,0,1,0,5592,6552,0,154,51020,75,72147030,112,101,16266,208038,3192,978946,7704,173767,210226,250108,996,185,107292,12698,2340,91139,22379,15,100484,692,56029,"130,058",284169,453,217349,6654,670787,198377,2581,1293898,189132,750468,29619,151,5172,67893,50029,26315,626,682658,77133,25228,21480,249008,77511,153874,504,525,252000,417239,244729,190837,87605,16785,37353,1047411,22842,13731,217014,392751,291400,130578,559,232329,1353445,293886,5524,268,708322,1395,32,5886,1186606,48007,120474,217,1885,52359,40179,4182,34430,1282,15,101,10,265,29,38952,486150,116827,86,36,37331,215193,8534,125015,226,25155,105978,112,37229590,290478,536487,252888,0,53869,34917440,72616,442459,602977,97405,778,67432,16,126761,0,270430,389764,49605,1854,546,197472,125445,310,236511,1170,51959,845,246909,18385,2,385,93892,1105,555,123993,6240,2471,802,155,0
126,126,5,Tamil Nadu,Salem,1,0,0,7933,4547,0,412,132976,437,72147030,515,101,46638,95487,1706,2285562,6260,257004,610363,841443,996,523,955045,54960,8169,53841,63867,21,448968,692,104034,"130,058",749932,1720,564666,8622,1700485,345077,2581,3290477,457866,1787896,176899,943,20660,196973,196664,96292,608,1781571,77133,141503,36933,580512,98845,454210,1727,525,650064,1170352,681331,723966,87605,60365,37353,3326357,6722,77409,593208,1083797,835377,573822,60489,678452,3482056,571061,30660,1197,1737345,32290,32,39279,2335432,79818,321173,80,1885,9970,40179,34442,226846,3912,31,101,10,642,992,98849,1561030,133130,174,246,141704,611941,16423,294062,1380,414,242306,310,37229590,572813,1285107,713294,10,176298,34917440,72616,1000455,1694160,296399,2185,157811,16,597539,0,706525,1029479,352121,1854,58880,495095,441388,310,518763,1128,199211,609,188672,38760,2,385,277832,119369,555,286450,10005,1938,802,155,0
127,127,5,Tamil Nadu,Thiruvallur,0,1,0,9615,18959,0,1422,117828,472,72147030,580,101,78827,143093,412,2791721,12554,73444,434491,1135784,996,455,610048,32054,7731,233633,174279,54,621907,692,103687,"130,058",857364,1592,630578,10766,1852042,151979,2581,3297728,622789,2190050,133464,876,75634,222750,150892,175520,602,1876062,77133,58240,76666,821646,63193,270586,1732,525,772398,1119433,805187,625071,87605,66378,37353,3325823,41640,148885,531907,1103563,909400,786843,23692,717165,3728104,461918,54505,1137,1925296,5948,32,112276,2687680,53570,636991,130,1885,44284,40179,11779,343722,3672,54,101,10,539,3693,93063,1247918,290136,951,530,118838,671689,17057,410526,1348,858,303091,474,37229590,387237,1495711,643614,0,185181,34917440,72616,1296010,1538054,451321,1940,164709,16,732196,0,636443,1154775,363741,1854,23551,280985,374923,310,600731,1374,291863,1021,181452,62993,3,385,321799,47243,555,411120,10795,4419,802,155,0
128,128,5,Tamil Nadu,Tiruppur,1,1,0,3576,5076,0,455,99345,576,72147030,1446,101,45363,123983,1574,1760566,2924,135817,446354,842999,996,838,552447,43625,10027,70015,55311,112,463530,692,43837,"130,058",609808,2208,475349,3818,1232893,107839,2581,2229526,298635,1212915,154165,978,17181,177832,172250,52467,633,1246159,77133,40988,67678,395876,32209,246333,2316,525,560785,894908,644967,611353,87605,21436,37353,2278835,6611,47188,342558,819783,655073,592867,2740,543330,2479052,444390,43477,1370,1177987,2277,32,34742,1677079,23777,400593,23,1885,8542,40179,3718,325939,4309,112,101,10,510,371,54213,1168596,97541,198,119,128625,481695,7814,196907,1554,113,170870,401,37229590,356886,959623,504674,0,169098,34917440,72616,800943,1266137,179733,1993,85523,16,538022,0,434928,794639,333579,1854,2718,248181,290774,310,369432,244,251957,219,192583,40073,3,385,227074,5458,555,198969,8039,1752,802,155,0
129,129,5,Tamil Nadu,Viluppuram,3,1,0,12652,6884,0,325,102350,118,72147030,143,101,27731,133896,1555,2195776,16143,369646,685866,463153,996,437,999902,27779,5306,138279,43311,33,228172,692,154822,"130,058",676077,1001,484134,14726,1718054,496584,2581,3430072,508930,1755624,125683,271,8472,101921,114590,90689,607,1740819,77133,38237,21746,1015716,57534,832213,1041,525,547305,967314,459716,663958,87605,45680,37353,3174941,5283,59841,612231,1017383,748444,307759,37570,579796,3458873,646306,13030,564,1881463,1117,32,14829,2430170,35352,169801,368,1885,9540,40179,3534,134578,3043,51,101,10,730,4032,107471,1260802,442447,238,278,86811,518788,15143,510869,389,1860,246856,190,37229590,808042,1234479,624042,18,120940,34917440,72616,961297,1703249,229726,2002,175528,16,159272,0,726665,949892,184050,1854,37289,621276,351418,310,549742,842,67280,1706,202930,35440,2,385,222320,74859,555,504847,7054,3476,802,155,0
130,130,5,Tamil Nadu,Virudhunagar,2,5,0,2872,3914,0,245,89882,199,72147030,321,101,23643,47838,1504,1398788,3392,57153,371047,649005,996,298,403246,44466,4300,67405,37357,32,235005,692,46868,"130,058",457317,893,308362,3150,974579,222337,2581,1853523,230321,992130,64628,416,10219,109937,133899,61793,625,967709,77133,35298,16606,399831,43124,208702,921,525,353909,734724,498189,453098,87605,35156,37353,1822626,16410,35098,380659,579111,505950,317795,1182,410503,1942288,398670,9845,595,987538,9753,32,17403,1450277,4158,167021,39,1885,18701,40179,11927,116349,2106,32,101,10,364,98,36597,854066,96092,87,75,89433,355973,7084,198704,615,103,138306,328,37229590,363782,760375,378174,0,103255,34917440,72616,638413,950158,167506,1185,87049,16,370942,0,379629,575006,119486,1854,1112,283237,282826,310,317054,684,149739,239,163264,21904,3,385,165669,2294,555,201127,4232,1570,802,155,0
147,147,6,Maharashtra,Mumbai,0,1,0,15197,9099,219,13471,135178,5027,112374333,18289,102,150960,773173,453,2509022,34584,6051,263387,1227062,929,3595,262312,36524,60163,84555,204234,4547,494883,273,128284,"307,713",543699,14430,390211,18184,1400803,27097,3239,2829453,665263,1801015,36613,7597,121344,221503,105710,7707,519,1684608,107079,45538,9072,219934,10889,5745,10334,438,602209,1107321,621109,623468,115147,57044,39048,1873762,3741,275,85525,1021009,625927,610641,13488,409944,3085411,399792,80168,10835,1553005,9819,70,100244,2567141,273,427208,541,8068,5759,12398,11722,541324,13819,5407,102,19,1001,166000,74432,1209334,75062,134257,31094,69186,369160,9825,111564,12624,1100,378764,1044,61556074,0,1410680,583243,641,102012,50818259,68998,1098342,1284396,343374,3485,113720,20,1107321,0,428162,933586,105842,2638,11605,9340,56086,101,603937,465,185170,2446,118967,61038,3,430,153428,25093,365,108370,6813,15577,4547,641,219
150,150,6,Tamil Nadu,Chennai,16,31,0,15288,38356,0,2851,118340,748,72147030,3686,102,214074,439270,49,3776276,15916,14454,447995,1751824,996,1866,419065,30582,15742,358662,355838,476,910262,692,122912,"130,058",1055696,3820,688857,17628,2310888,33168,2581,4061097,801050,2829435,15930,1214,217368,398414,169721,170162,603,2335844,83021,37345,7440,779667,16519,13674,3685,525,1017122,1314125,1092062,908587,94781,67277,37353,3751322,18353,43461,245763,1369302,1096334,1073399,5207,859219,4646732,516445,146388,1954,2271657,2888,32,264763,3642032,3500,1057802,414,1937,19543,40179,3927,844285,5802,575,102,10,471,51708,111380,1619554,197743,2804,1759,139139,798018,9435,389001,1962,80,464207,619,37229590,0,1968079,899279,99,237897,34917440,72616,1808197,1817297,905515,2117,182588,16,1314125,0,522493,1468902,515581,1854,4854,6553,409796,310,720331,1061,565934,1926,167207,114191,3,385,377533,10061,555,390666,2587,6894,561,145,0
151,151,6,Tamil Nadu,Madurai,3,1,0,7350,8602,0,520,112608,372,72147030,738,102,47472,168881,810,2273430,8561,92719,451928,841792,996,502,449125,40659,6917,97711,95311,51,391821,692,83006,"130,058",708942,1482,530152,8241,1511777,246100,2581,2847799,453509,1683620,66623,710,34097,228106,153915,90919,623,1526475,83021,47293,26772,408976,65204,372828,1526,525,618922,1010441,714764,678712,94781,39350,37353,2760502,19034,62999,434208,902704,754141,551839,5622,605700,3038252,525151,30852,980,1528178,5747,32,54832,2398674,3207,472221,129,1937,23070,40179,8103,298527,3158,79,102,10,458,1532,71390,1173902,180730,199,305,113256,552457,10479,205098,1082,1171,250285,304,37229590,417718,1223810,593827,28,154348,34917440,72616,1049620,1354632,363152,1632,139168,16,592723,0,491822,913715,228557,1854,5474,283179,325803,310,532616,2055,279755,762,234611,41298,3,385,258941,11096,555,203878,7653,2532,561,145,0
152,152,6,Tamil Nadu,Viluppuram,0,1,0,12652,6884,0,325,102350,118,72147030,143,102,27731,133896,1555,2195776,16143,369646,685866,463153,996,437,999902,27779,5306,138279,43311,34,228172,692,154822,"130,058",676077,1001,484134,14726,1718054,496584,2581,3430072,508930,1755624,125683,271,8472,101921,114590,90689,607,1740819,83021,38237,21746,1015716,57534,832213,1041,525,547305,967314,459716,663958,94781,45680,37353,3174941,5283,59841,612231,1017383,748444,307759,37570,579796,3458873,646306,13030,564,1881463,1117,32,14829,2430170,35352,169801,368,1937,9540,40179,3534,134578,3043,52,102,10,730,4032,107471,1260802,442447,238,278,86811,518788,15143,510869,389,1860,246856,190,37229590,808042,1234479,624042,18,120940,34917440,72616,961297,1703249,229726,2002,175528,16,159272,0,726665,949892,184050,1854,37289,621276,351418,310,549742,842,67280,1706,202930,35440,2,385,222320,74859,555,504847,7054,3476,561,145,0
165,165,7,Tamil Nadu,Chennai,32,72,0,15288,38356,8,2851,118340,748,72147030,3686,103,214074,439270,49,3776276,15916,14454,447995,1751824,996,1866,419065,30582,15742,358662,355838,475,910262,692,122912,"130,058",1055696,3820,688857,17628,2310888,33168,2581,4061097,801050,2829435,15930,1214,217368,398414,169721,170162,603,2335844,97908,37345,7440,779667,16519,13674,3685,525,1017122,1314125,1092062,908587,101874,67277,37353,3751322,18353,43461,245763,1369302,1096334,1073399,5207,859219,4646732,516445,146388,1954,2271657,2888,32,264763,3642032,3500,1057802,414,2058,19543,40179,3927,844285,5802,678,103,10,471,51708,111380,1619554,197743,2804,1759,139139,798018,9435,389001,1962,80,464207,619,37229590,0,1968079,899279,195,237897,34917440,72616,1808197,1817297,905515,2117,182588,16,1314125,0,522493,1468902,515581,1854,4854,6553,409796,310,720331,1061,565934,1926,167207,114191,3,385,377533,10061,555,390666,2587,6894,503,247,8
166,166,7,Tamil Nadu,Kancheepuram,0,1,0,10013,21978,0,1620,123421,522,72147030,797,103,103399,173785,1411,3013382,11202,89343,492506,1257225,996,560,678374,37098,8349,256762,200738,12,622095,692,115195,"130,058",904619,1698,665334,11193,1985294,188733,2581,3546183,634172,2324438,132855,832,100322,240359,166082,163172,604,2012958,97908,54732,51093,948081,61890,272514,1965,525,832716,1213504,822329,732354,101874,67354,37353,3537399,26856,129924,496248,1181308,961161,805076,20605,761575,3998252,535947,68427,1138,2076492,5912,32,137686,2867809,39231,651240,155,2058,32942,40179,9902,435671,3958,19,103,10,541,4962,97620,1367378,306436,990,756,128984,701330,13344,474264,1354,3262,312208,475,37229590,438799,1611461,715895,7,196143,34917440,72616,1401921,1673814,526886,1993,179266,16,774705,0,700252,1200284,418526,1854,20605,323242,425865,310,608188,1413,281627,1025,183054,63983,3,385,325921,41210,555,473817,9949,5581,503,247,8
167,167,7,Tamil Nadu,Namakkal,0,2,0,2788,2983,0,183,75446,220,72147030,249,103,29271,32483,2340,1176131,1692,158473,366782,447249,996,241,388418,36901,3824,16909,31581,16,265276,692,38032,"130,058",418420,747,300910,2947,857321,147132,2581,1588778,214836,828356,98709,358,8960,138294,124286,66003,609,869280,97908,38797,49551,345392,28446,253726,890,525,352439,627484,378236,365810,101874,21582,37353,1673652,3523,61860,308684,531463,441044,330625,29383,354019,1726601,297179,18550,506,817905,1361,32,19466,1200360,35099,194417,14,2058,6595,40179,2274,140627,1940,61,103,10,309,84,45345,839152,59093,108,199,87385,313747,7462,173973,578,154,126468,263,37229590,370357,653312,397064,45,100172,34917440,72616,522819,898245,169206,1050,67297,16,257127,0,343287,510413,212434,1854,27676,209494,262313,310,247516,578,126986,145,123573,22258,3,385,146278,57059,555,171419,4415,1219,503,247,8
